onset	duration	nwb_table	stim_phase	stimulus_file	response_correct	response_confidence	actual_response	response_time
0.0	478.847432	trials	encoding	bd_movie				478.847432
531.161099	10.79483899999991	trials	recognition	new012.png	1.0	2.0	2.0	541.955938
542.990594	3.1511860000000524	trials	recognition	new027.png	1.0	2.0	2.0	546.14178
547.166624	1.7193740000000162	trials	recognition	new029.png	1.0	3.0	1.0	548.885998
549.912091	2.484436999999957	trials	recognition	new004.png	1.0	3.0	1.0	552.396528
553.42409	2.8262490000000753	trials	recognition	old025.png	1.0	2.0	5.0	556.250339
557.275557	1.6391239999999243	trials	recognition	new034.png	1.0	3.0	1.0	558.914681
559.935931	2.827030000000036	trials	recognition	old008.png	1.0	2.0	5.0	562.762961
563.784086	3.0484669999999596	trials	recognition	new024.png	1.0	2.0	2.0	566.832553
567.858584	1.7793430000000399	trials	recognition	old020.png	1.0	3.0	6.0	569.637927
570.660489	1.734593000000018	trials	recognition	new011.png	0.0	2.0	5.0	572.395082
573.410801	1.1763429999999744	trials	recognition	old036.png	1.0	3.0	6.0	574.587144
575.607112	3.6181550000000016	trials	recognition	old018.png	0.0	2.0	2.0	579.225267
580.245454	4.548153999999954	trials	recognition	new028.png	1.0	3.0	1.0	584.793608
585.813264	3.6775930000000017	trials	recognition	new020.png	1.0	2.0	2.0	589.490857
590.510512	2.8410930000000008	trials	recognition	old014.png	1.0	2.0	5.0	593.351605
594.372573	1.5170000000000528	trials	recognition	new021.png	1.0	3.0	1.0	595.889573
596.908947	4.596154999999953	trials	recognition	new031.png	1.0	1.0	3.0	601.505102
602.525101	2.4358740000000125	trials	recognition	old023.png	0.0	1.0	3.0	604.960975
605.981756	2.396186999999941	trials	recognition	old004.png	0.0	3.0	1.0	608.377943
609.397505	1.8469989999999825	trials	recognition	old009.png	0.0	1.0	3.0	611.244504
612.26366	2.726904999999988	trials	recognition	old022.png	1.0	1.0	4.0	614.990565
616.009877	3.7018110000000206	trials	recognition	old034.png	1.0	2.0	5.0	619.711688
620.726688	3.8814980000000787	trials	recognition	old032.png	1.0	2.0	5.0	624.608186
625.623186	2.5407490000000053	trials	recognition	old029.png	1.0	3.0	6.0	628.163935
629.178903	3.8457489999999552	trials	recognition	new022.png	1.0	1.0	3.0	633.024652
634.05062	1.4762180000000171	trials	recognition	old001.png	1.0	3.0	6.0	635.526838
636.560181	3.4276550000000725	trials	recognition	old027.png	1.0	2.0	5.0	639.987836
641.007586	2.767280000000028	trials	recognition	old015.png	1.0	1.0	4.0	643.774866
644.794272	2.5769990000000007	trials	recognition	new040.png	1.0	3.0	1.0	647.371271
648.391614	1.6250929999999926	trials	recognition	old012.png	1.0	3.0	6.0	650.016707
651.036269	4.6359990000000835	trials	recognition	new038.png	0.0	1.0	4.0	655.672268
656.715986	2.348560999999904	trials	recognition	new010.png	0.0	2.0	5.0	659.064547
660.083453	4.326279999999997	trials	recognition	new026.png	1.0	1.0	3.0	664.409733
665.429076	2.6170620000000326	trials	recognition	new018.png	1.0	1.0	3.0	668.046138
669.065418	6.266403999999966	trials	recognition	old040.png	0.0	1.0	3.0	675.331822
676.349572	2.2349679999999807	trials	recognition	old021.png	1.0	2.0	5.0	678.58454
679.603133	2.385624000000007	trials	recognition	old038.png	1.0	3.0	6.0	681.988757
683.007382	3.716717000000017	trials	recognition	new030.png	0.0	1.0	4.0	686.724099
687.742567	1.4056249999999864	trials	recognition	new016.png	1.0	3.0	1.0	689.148192
690.166629	3.9751230000000533	trials	recognition	new008.png	0.0	1.0	4.0	694.141752
