onset	duration	nwb_table	stim_phase	stimulus_file	response_correct	response_confidence	actual_response	response_time
0.0	478.834214	trials	encoding	bd_movie				478.834214
531.051037	15.932900000000018	trials	recognition	new031.png	0.0	3.0	6.0	546.983937
548.05653	3.4765610000000606	trials	recognition	new022.png	0.0	2.0	5.0	551.533091
552.607778	8.654839999999922	trials	recognition	new026.png	1.0	2.0	2.0	561.262618
562.32743	4.445998999999915	trials	recognition	new018.png	1.0	3.0	1.0	566.773429
567.847741	12.200244999999995	trials	recognition	new012.png	0.0	1.0	4.0	580.047986
581.099735	1.9772500000000264	trials	recognition	old022.png	1.0	3.0	6.0	583.076985
584.151297	2.103623999999968	trials	recognition	old040.png	1.0	3.0	6.0	586.254921
587.318358	3.6232479999999896	trials	recognition	old034.png	1.0	2.0	5.0	590.941606
592.020606	9.697651999999948	trials	recognition	old018.png	1.0	1.0	4.0	601.718258
602.791477	4.731591999999978	trials	recognition	new021.png	1.0	2.0	2.0	607.523069
608.591943	6.867590999999948	trials	recognition	old021.png	1.0	2.0	5.0	615.459534
616.528471	4.558561000000054	trials	recognition	new027.png	0.0	1.0	4.0	621.087032
622.146313	2.4722170000000006	trials	recognition	old036.png	1.0	3.0	6.0	624.61853
625.681405	3.143654999999967	trials	recognition	new010.png	0.0	2.0	5.0	628.82506
629.88231	11.665276000000063	trials	recognition	old004.png	0.0	1.0	3.0	641.547586
642.619992	4.315373000000022	trials	recognition	new016.png	1.0	3.0	1.0	646.935365
648.004615	5.234998000000019	trials	recognition	old027.png	1.0	2.0	5.0	653.239613
654.307112	9.496871000000056	trials	recognition	new004.png	1.0	2.0	2.0	663.803983
664.859827	5.706465999999978	trials	recognition	new028.png	1.0	2.0	2.0	670.566293
671.629605	10.56052699999998	trials	recognition	old015.png	0.0	1.0	3.0	682.190132
683.248788	6.2493409999999585	trials	recognition	new029.png	1.0	3.0	1.0	689.498129
690.56941	3.6676860000000033	trials	recognition	old038.png	1.0	2.0	5.0	694.237096
695.303783	11.201683000000003	trials	recognition	old023.png	0.0	1.0	3.0	706.505466
707.574528	9.326152999999977	trials	recognition	new024.png	1.0	1.0	3.0	716.900681
717.960524	4.8771860000000515	trials	recognition	new020.png	1.0	3.0	1.0	722.83771
723.895866	9.888557999999989	trials	recognition	new008.png	0.0	3.0	6.0	733.784424
734.850205	5.75634100000002	trials	recognition	old025.png	1.0	3.0	6.0	740.606546
741.668108	3.34518700000001	trials	recognition	old008.png	1.0	3.0	6.0	745.013295
746.086388	4.805809999999951	trials	recognition	old012.png	1.0	1.0	4.0	750.892198
751.955323	3.0484050000000025	trials	recognition	old014.png	1.0	3.0	6.0	755.003728
756.072728	3.2793420000000424	trials	recognition	new038.png	0.0	2.0	5.0	759.35207
760.424101	5.132060000000024	trials	recognition	new040.png	1.0	3.0	1.0	765.556161
766.626723	3.455218000000059	trials	recognition	old032.png	1.0	2.0	5.0	770.081941
771.144753	5.192372999999975	trials	recognition	old029.png	1.0	1.0	4.0	776.337126
777.413532	3.139811000000009	trials	recognition	old020.png	1.0	1.0	4.0	780.553343
781.630999	4.0363419999999905	trials	recognition	old009.png	1.0	1.0	4.0	785.667341
786.716122	2.7934979999999996	trials	recognition	old001.png	1.0	3.0	6.0	789.50962
790.567151	4.186092000000031	trials	recognition	new034.png	1.0	3.0	1.0	794.753243
795.802274	5.989341999999965	trials	recognition	new030.png	1.0	1.0	3.0	801.791616
802.855428	4.224998000000028	trials	recognition	new011.png	0.0	1.0	4.0	807.080426
