onset	duration	nwb_table	stim_phase	stimulus_file	response_correct	response_confidence	actual_response	response_time
0.0	478.849089	trials	encoding	bd_movie				478.849089
657.007455	7.959683999999925	trials	recognition	new012.png	1.0	3.0	1.0	664.967139
666.01767	2.8794050000000198	trials	recognition	new027.png	1.0	3.0	1.0	668.897075
669.9402	5.90030999999999	trials	recognition	new029.png	0.0	2.0	5.0	675.84051
676.884916	6.268371999999999	trials	recognition	new004.png	0.0	2.0	5.0	683.153288
684.20535	2.40443700000003	trials	recognition	old025.png	0.0	3.0	1.0	686.609787
687.657599	5.988247999999999	trials	recognition	new034.png	1.0	3.0	1.0	693.645847
694.681409	2.897310999999945	trials	recognition	old008.png	1.0	3.0	6.0	697.57872
698.61047	4.737215999999989	trials	recognition	new024.png	1.0	2.0	2.0	703.347686
704.37878	2.517092000000048	trials	recognition	old020.png	1.0	3.0	6.0	706.895872
707.926528	1.7587500000000773	trials	recognition	new011.png	0.0	3.0	6.0	709.685278
710.715308	1.3174060000000054	trials	recognition	old036.png	1.0	3.0	6.0	712.032714
713.062589	1.9982800000000225	trials	recognition	old018.png	1.0	3.0	6.0	715.060869
716.091119	5.47734099999991	trials	recognition	new028.png	0.0	3.0	6.0	721.56846
722.59771	4.466372999999976	trials	recognition	new020.png	1.0	3.0	1.0	727.064083
728.092614	2.3168110000000297	trials	recognition	old014.png	1.0	3.0	6.0	730.409425
731.438425	5.817590999999993	trials	recognition	new021.png	1.0	3.0	1.0	737.256016
738.285016	2.957529999999906	trials	recognition	new031.png	1.0	3.0	1.0	741.242546
742.271827	3.7979050000000143	trials	recognition	old023.png	1.0	3.0	6.0	746.069732
747.098763	3.7175920000000815	trials	recognition	old004.png	0.0	3.0	1.0	750.816355
751.845229	3.656810999999948	trials	recognition	old009.png	1.0	3.0	6.0	755.50204
756.530196	1.2674059999999372	trials	recognition	old022.png	1.0	3.0	6.0	757.797602
758.825789	1.4673740000000635	trials	recognition	old034.png	1.0	3.0	6.0	760.293163
761.321788	2.1774050000000216	trials	recognition	old032.png	1.0	3.0	6.0	763.499193
764.528568	2.09781200000009	trials	recognition	old029.png	1.0	3.0	6.0	766.62638
767.655254	3.7675610000000006	trials	recognition	new022.png	0.0	2.0	5.0	771.422815
772.451346	2.9164360000000897	trials	recognition	old001.png	1.0	3.0	6.0	775.367782
776.397032	1.646374000000037	trials	recognition	old027.png	1.0	3.0	6.0	778.043406
779.072687	1.1815619999999853	trials	recognition	old015.png	1.0	3.0	6.0	780.254249
781.281718	4.947435000000041	trials	recognition	new040.png	1.0	2.0	2.0	786.229153
787.258278	2.777623999999946	trials	recognition	old012.png	1.0	3.0	6.0	790.035902
791.064682	3.9187180000000126	trials	recognition	new038.png	1.0	2.0	2.0	794.9834
796.012868	1.936967999999979	trials	recognition	new010.png	0.0	3.0	6.0	797.949836
798.978367	2.3483739999999216	trials	recognition	new026.png	1.0	3.0	1.0	801.326741
802.356272	2.396716999999967	trials	recognition	new018.png	1.0	3.0	1.0	804.752989
805.780864	2.567030000000045	trials	recognition	old040.png	1.0	3.0	6.0	808.347894
809.376738	2.136498999999958	trials	recognition	old021.png	1.0	3.0	6.0	811.513237
812.542143	1.6165300000000116	trials	recognition	old038.png	1.0	3.0	6.0	814.158673
815.187016	1.427500000000009	trials	recognition	new030.png	0.0	3.0	6.0	816.614516
817.655265	2.0467499999999745	trials	recognition	new016.png	1.0	3.0	1.0	819.702015
820.730327	1.817843000000039	trials	recognition	new008.png	1.0	3.0	1.0	822.54817
