onset	duration	nwb_table	stim_phase	stimulus_file	response_correct	response_confidence	actual_response	response_time
0.0	478.84312	trials	encoding	bd_movie				478.84312
596.25626	10.818089999999984	trials	recognition	new012.png	1.0	2.0	2.0	607.07435
608.101568	3.9571859999999788	trials	recognition	new027.png	1.0	3.0	1.0	612.058754
613.083503	1.5963430000000471	trials	recognition	new029.png	1.0	3.0	1.0	614.679846
615.70519	8.540183999999954	trials	recognition	new004.png	0.0	2.0	5.0	624.245374
625.277311	2.2351869999999963	trials	recognition	old025.png	1.0	3.0	6.0	627.512498
628.538185	3.904278999999974	trials	recognition	new034.png	1.0	3.0	1.0	632.442464
633.460401	2.1929369999999153	trials	recognition	old008.png	1.0	3.0	6.0	635.653338
636.66915	5.352623000000108	trials	recognition	new024.png	1.0	3.0	1.0	642.021773
643.03746	5.476717000000008	trials	recognition	old020.png	0.0	3.0	1.0	648.514177
649.53477	5.117654000000016	trials	recognition	new011.png	0.0	3.0	6.0	654.652424
655.671174	1.5267489999999952	trials	recognition	old036.png	1.0	3.0	6.0	657.197923
658.216266	2.2473750000000337	trials	recognition	old018.png	1.0	3.0	6.0	660.463641
661.481765	3.277873999999997	trials	recognition	new028.png	1.0	3.0	1.0	664.759639
665.778045	3.4376549999999497	trials	recognition	new020.png	1.0	3.0	1.0	669.2157
670.234199	3.396468000000027	trials	recognition	old014.png	1.0	3.0	6.0	673.630667
674.648979	4.935590999999931	trials	recognition	new021.png	1.0	3.0	1.0	679.58457
680.602914	10.564338999999904	trials	recognition	new031.png	0.0	2.0	5.0	691.167253
692.183534	7.873715999999945	trials	recognition	old023.png	0.0	2.0	2.0	700.05725
701.072843	5.425809999999956	trials	recognition	old004.png	1.0	2.0	5.0	706.498653
707.534653	4.486247999999932	trials	recognition	old009.png	1.0	2.0	5.0	712.020901
713.038026	5.98574700000006	trials	recognition	old022.png	1.0	1.0	4.0	719.023773
720.041429	7.827902999999992	trials	recognition	old034.png	0.0	2.0	2.0	727.869332
728.883957	3.290249000000017	trials	recognition	old032.png	1.0	3.0	6.0	732.174206
733.18658	1.6208429999999225	trials	recognition	old029.png	1.0	3.0	6.0	734.807423
735.829454	5.4711229999999205	trials	recognition	new022.png	1.0	1.0	3.0	741.300577
742.316858	2.3326549999999315	trials	recognition	old001.png	1.0	3.0	6.0	744.649513
745.664294	3.402091999999925	trials	recognition	old027.png	1.0	3.0	6.0	749.066386
750.080917	3.3825299999999743	trials	recognition	old015.png	1.0	3.0	6.0	753.463447
754.478322	3.652247999999986	trials	recognition	new040.png	1.0	3.0	1.0	758.13057
759.161288	9.527184000000034	trials	recognition	old012.png	1.0	1.0	4.0	768.688472
769.706222	8.02649699999995	trials	recognition	new038.png	0.0	2.0	5.0	777.732719
778.750906	7.455465000000004	trials	recognition	new010.png	0.0	2.0	5.0	786.206371
787.219902	3.0396859999999606	trials	recognition	new026.png	1.0	3.0	1.0	790.259588
791.271994	3.2309680000000753	trials	recognition	new018.png	1.0	3.0	1.0	794.502962
795.515336	11.310401999999954	trials	recognition	old040.png	1.0	2.0	5.0	806.825738
807.838206	7.399965999999949	trials	recognition	old021.png	0.0	2.0	2.0	815.238172
816.258141	2.260279999999966	trials	recognition	old038.png	1.0	3.0	6.0	818.518421
819.536858	7.727308999999991	trials	recognition	new030.png	1.0	2.0	2.0	827.264167
828.290073	3.0174049999999397	trials	recognition	new016.png	1.0	3.0	1.0	831.307478
832.325884	2.6669370000000754	trials	recognition	new008.png	1.0	3.0	1.0	834.992821
