onset	duration	nwb_table	stim_phase	stimulus_file	response_correct	response_confidence	actual_response	response_time
0.0	478.033589	trials	encoding	bd_movie				478.033589
534.657691	8.638652999999977	trials	recognition	new012.png	0.0	1.0	4.0	543.296344
544.315312	6.209185000000048	trials	recognition	new027.png	1.0	1.0	3.0	550.524497
551.545403	5.229404000000045	trials	recognition	new029.png	1.0	3.0	1.0	556.774807
557.793807	3.5790610000000243	trials	recognition	new004.png	1.0	3.0	1.0	561.372868
562.402961	5.412560999999982	trials	recognition	old025.png	1.0	3.0	6.0	567.815522
568.83874	4.713497999999959	trials	recognition	new034.png	1.0	3.0	1.0	573.552238
574.572206	8.541340999999989	trials	recognition	old008.png	1.0	2.0	5.0	583.113547
584.130452	2.396217999999976	trials	recognition	new024.png	1.0	3.0	1.0	586.52667
587.543607	5.225467000000094	trials	recognition	old020.png	1.0	2.0	5.0	592.769074
593.786011	5.526122999999984	trials	recognition	new011.png	0.0	2.0	5.0	599.312134
600.324165	2.2091239999999743	trials	recognition	old036.png	1.0	3.0	6.0	602.533289
603.543757	3.408435999999938	trials	recognition	old018.png	1.0	3.0	6.0	606.952193
607.963099	7.760809999999992	trials	recognition	new028.png	1.0	2.0	2.0	615.723909
616.735439	2.959686999999917	trials	recognition	new020.png	1.0	3.0	1.0	619.695126
620.706719	3.409341999999924	trials	recognition	old014.png	1.0	3.0	6.0	624.116061
625.139249	4.150342000000023	trials	recognition	new021.png	1.0	2.0	2.0	629.289591
630.300934	5.1677479999999605	trials	recognition	new031.png	1.0	3.0	1.0	635.468682
636.485525	4.850716999999918	trials	recognition	old023.png	1.0	2.0	5.0	641.336242
642.347617	7.020371999999952	trials	recognition	old004.png	1.0	2.0	5.0	649.367989
650.37952	2.779749000000038	trials	recognition	old009.png	1.0	3.0	6.0	653.159269
654.170612	1.5095310000000381	trials	recognition	old022.png	1.0	3.0	6.0	655.680143
656.691236	2.140186999999969	trials	recognition	old034.png	1.0	3.0	6.0	658.831423
659.84286	3.310061000000019	trials	recognition	old032.png	1.0	3.0	6.0	663.152921
664.16442	2.2493120000000317	trials	recognition	old029.png	1.0	3.0	6.0	666.413732
667.425044	3.4786240000000817	trials	recognition	new022.png	1.0	2.0	2.0	670.903668
671.919011	2.618280000000027	trials	recognition	old001.png	1.0	3.0	6.0	674.537291
675.556541	3.240154999999959	trials	recognition	old027.png	1.0	3.0	6.0	678.796696
679.808039	3.529904999999985	trials	recognition	old015.png	1.0	2.0	5.0	683.337944
684.34935	7.0310590000000275	trials	recognition	new040.png	1.0	3.0	1.0	691.380409
692.391753	1.9498740000000225	trials	recognition	old012.png	1.0	3.0	6.0	694.341627
695.352658	7.568965999999932	trials	recognition	new038.png	1.0	2.0	2.0	702.921624
703.931186	4.60830999999996	trials	recognition	new010.png	0.0	3.0	6.0	708.539496
709.556402	4.663122999999928	trials	recognition	new026.png	1.0	3.0	1.0	714.219525
715.233212	3.042030000000068	trials	recognition	new018.png	1.0	3.0	1.0	718.275242
719.288867	6.348121999999989	trials	recognition	old040.png	0.0	3.0	1.0	725.636989
726.652145	4.392935999999963	trials	recognition	old021.png	1.0	2.0	5.0	731.045081
732.061737	1.7876549999999725	trials	recognition	old038.png	1.0	3.0	6.0	733.849392
734.860361	4.689873000000034	trials	recognition	new030.png	0.0	2.0	5.0	739.550234
740.561202	2.490562000000068	trials	recognition	new016.png	1.0	3.0	1.0	743.051764
744.064013	4.07187399999998	trials	recognition	new008.png	1.0	3.0	1.0	748.135887
