onset	duration	nwb_table	stim_phase	stimulus_file	response_correct	response_confidence	actual_response	response_time
0.0	478.848214	trials	encoding	bd_movie				478.848214
610.23988	9.160933999999997	trials	recognition	new012.png	0.0	3.0	6.0	619.400814
620.456532	4.381779999999935	trials	recognition	new027.png	1.0	3.0	1.0	624.838312
625.88053	10.698901999999975	trials	recognition	new029.png	0.0	3.0	6.0	636.579432
637.621276	7.530871000000047	trials	recognition	new004.png	0.0	3.0	6.0	645.152147
646.206835	3.934404000000086	trials	recognition	old025.png	1.0	3.0	6.0	650.141239
651.183208	5.018528999999944	trials	recognition	new034.png	1.0	2.0	2.0	656.201737
657.23558	2.4584989999999607	trials	recognition	old008.png	1.0	3.0	6.0	659.694079
660.726047	3.1184369999999717	trials	recognition	new024.png	0.0	3.0	6.0	663.844484
664.875483	3.178498999999988	trials	recognition	old020.png	1.0	3.0	6.0	668.053982
669.085138	2.4904050000000097	trials	recognition	new011.png	0.0	3.0	6.0	671.575543
672.606355	1.5811559999999645	trials	recognition	old036.png	1.0	3.0	6.0	674.187511
675.217854	7.067247000000066	trials	recognition	old018.png	1.0	3.0	6.0	682.285101
683.315132	5.657685000000015	trials	recognition	new028.png	0.0	2.0	5.0	688.972817
690.002504	5.65784199999996	trials	recognition	new020.png	1.0	2.0	2.0	695.660346
696.690377	4.746967000000041	trials	recognition	old014.png	1.0	3.0	6.0	701.437344
702.466781	3.568155000000047	trials	recognition	new021.png	1.0	2.0	2.0	706.034936
707.056841	14.016245000000026	trials	recognition	new031.png	1.0	1.0	3.0	721.073086
722.103179	2.5484370000000354	trials	recognition	old023.png	1.0	3.0	6.0	724.651616
725.681053	4.137373000000025	trials	recognition	old004.png	1.0	3.0	6.0	729.818426
730.847394	4.407592000000022	trials	recognition	old009.png	1.0	3.0	6.0	735.254986
736.284392	1.6469059999999445	trials	recognition	old022.png	1.0	3.0	6.0	737.931298
738.960516	1.8981240000000525	trials	recognition	old034.png	1.0	3.0	6.0	740.85864
741.888077	2.29668700000002	trials	recognition	old032.png	1.0	3.0	6.0	744.184764
745.21442	1.656904999999938	trials	recognition	old029.png	1.0	3.0	6.0	746.871325
747.900106	1.9573429999999234	trials	recognition	new022.png	0.0	3.0	6.0	749.857449
750.886886	1.3288119999999708	trials	recognition	old001.png	1.0	3.0	6.0	752.215698
753.24451	3.2674369999999726	trials	recognition	old027.png	1.0	2.0	5.0	756.511947
757.541196	3.27662399999997	trials	recognition	old015.png	0.0	3.0	1.0	760.81782
761.847038	5.897309999999948	trials	recognition	new040.png	1.0	1.0	3.0	767.744348
768.773848	1.7886869999999817	trials	recognition	old012.png	1.0	3.0	6.0	770.562535
771.591659	3.122154999999907	trials	recognition	new038.png	0.0	3.0	6.0	774.713814
775.733939	2.6052799999999934	trials	recognition	new010.png	0.0	3.0	6.0	778.339219
779.366719	5.667529000000059	trials	recognition	new026.png	1.0	3.0	1.0	785.034248
786.063403	3.6069049999999834	trials	recognition	new018.png	1.0	3.0	1.0	789.670308
790.699245	3.9267489999999725	trials	recognition	old040.png	0.0	1.0	3.0	794.625994
795.655275	5.1269660000000385	trials	recognition	old021.png	0.0	1.0	3.0	800.782241
801.811116	1.6978740000000698	trials	recognition	old038.png	1.0	3.0	6.0	803.50899
804.538458	5.0870610000000624	trials	recognition	new030.png	0.0	1.0	4.0	809.625519
810.654612	4.0477169999999205	trials	recognition	new016.png	1.0	3.0	1.0	814.702329
815.731391	3.911748999999986	trials	recognition	new008.png	1.0	2.0	2.0	819.64314
