onset	duration	nwb_table	stim_phase	stimulus_file	response_correct	response_confidence	actual_response	response_time
0.0	478.849558	trials	encoding	bd_movie				478.849558
707.29081	29.09286300000008	trials	recognition	new012.png	0.0	2.0	5.0	736.383673
737.431329	3.359405000000038	trials	recognition	new027.png	0.0	3.0	6.0	740.790734
741.832952	6.171122999999966	trials	recognition	new029.png	1.0	3.0	1.0	748.004075
749.048324	4.43693600000006	trials	recognition	new004.png	1.0	3.0	1.0	753.48526
754.537916	10.202588999999989	trials	recognition	old025.png	1.0	3.0	6.0	764.740505
765.775099	7.4270910000000185	trials	recognition	new034.png	1.0	3.0	1.0	773.20219
774.238845	9.189559000000031	trials	recognition	old008.png	0.0	3.0	1.0	783.428404
784.451248	20.301085000000057	trials	recognition	new024.png	0.0	2.0	5.0	804.752333
805.784176	8.286527999999976	trials	recognition	old020.png	0.0	3.0	1.0	814.070704
815.102048	4.591372999999976	trials	recognition	new011.png	0.0	3.0	6.0	819.693421
820.722327	2.0184050000000298	trials	recognition	old036.png	1.0	3.0	6.0	822.740732
823.782107	6.567465999999968	trials	recognition	old018.png	1.0	2.0	5.0	830.349573
831.380072	6.66859199999999	trials	recognition	new028.png	1.0	3.0	1.0	838.048664
839.079194	4.657310999999936	trials	recognition	new020.png	1.0	3.0	1.0	843.736505
844.769692	4.817217000000028	trials	recognition	old014.png	1.0	3.0	6.0	849.586909
850.616502	13.588120000000004	trials	recognition	new021.png	1.0	2.0	2.0	864.204622
865.234621	7.06893500000001	trials	recognition	new031.png	0.0	3.0	6.0	872.303556
873.333306	16.478430000000003	trials	recognition	old023.png	1.0	2.0	5.0	889.811736
890.841049	6.397591000000034	trials	recognition	old004.png	1.0	3.0	6.0	897.23864
898.276889	5.726342000000045	trials	recognition	old009.png	1.0	1.0	4.0	904.003231
905.033668	4.45624799999996	trials	recognition	old022.png	1.0	3.0	6.0	909.489916
910.519728	4.787311000000045	trials	recognition	old034.png	1.0	3.0	6.0	915.307039
916.337507	3.318561000000045	trials	recognition	old032.png	1.0	3.0	6.0	919.656068
920.683693	6.796028000000092	trials	recognition	old029.png	1.0	3.0	6.0	927.479721
928.509127	2.857811999999967	trials	recognition	new022.png	0.0	2.0	5.0	931.366939
932.397126	3.0161229999999932	trials	recognition	old001.png	1.0	3.0	6.0	935.413249
936.442749	4.455779000000007	trials	recognition	old027.png	1.0	3.0	6.0	940.898528
941.928466	13.448712999999998	trials	recognition	old015.png	0.0	3.0	1.0	955.377179
956.406991	3.025655000000029	trials	recognition	new040.png	1.0	3.0	1.0	959.432646
960.461458	2.427061999999978	trials	recognition	old012.png	1.0	3.0	6.0	962.88852
963.917894	6.597216000000003	trials	recognition	new038.png	1.0	2.0	2.0	970.51511
971.544766	8.230497000000014	trials	recognition	new010.png	0.0	3.0	6.0	979.775263
980.803669	2.976654999999937	trials	recognition	new026.png	1.0	3.0	1.0	983.780324
984.80973	2.777186000000029	trials	recognition	new018.png	1.0	3.0	1.0	987.586916
988.616197	5.398372999999992	trials	recognition	old040.png	0.0	2.0	2.0	994.01457
995.044194	3.458968000000027	trials	recognition	old021.png	1.0	3.0	6.0	998.503162
999.530567	3.938998999999967	trials	recognition	old038.png	1.0	3.0	6.0	1003.469566
1004.511097	6.588278000000059	trials	recognition	new030.png	0.0	2.0	5.0	1011.099375
1012.12875	3.6238730000000032	trials	recognition	new016.png	1.0	3.0	1.0	1015.752623
1016.777967	7.606434000000036	trials	recognition	new008.png	0.0	2.0	5.0	1024.384401
