onset	duration	nwb_table	stim_phase	stimulus_file	response_correct	response_confidence	actual_response	response_time
0.0	478.85512	trials	encoding	bd_movie				478.85512
566.34646	10.731901999999991	trials	recognition	old015.png	1.0	2.0	5.0	577.078362
578.122799	4.589779000000021	trials	recognition	new021.png	1.0	3.0	1.0	582.712578
583.755203	7.9299029999999675	trials	recognition	new030.png	0.0	3.0	6.0	591.685106
592.728012	5.2705290000000105	trials	recognition	old012.png	0.0	3.0	1.0	597.998541
599.050103	3.9723109999999906	trials	recognition	old021.png	1.0	3.0	6.0	603.022414
604.071101	3.967217000000005	trials	recognition	old038.png	1.0	3.0	6.0	608.038318
609.07013	3.337530000000015	trials	recognition	new008.png	1.0	3.0	1.0	612.40766
613.442472	5.04774800000007	trials	recognition	old020.png	1.0	3.0	6.0	618.49022
619.521376	3.166091999999935	trials	recognition	old022.png	1.0	3.0	6.0	622.687468
623.717812	7.229840999999965	trials	recognition	old040.png	0.0	3.0	1.0	630.947653
631.977371	4.458248000000026	trials	recognition	new012.png	0.0	1.0	4.0	636.435619
637.4659	4.367654000000016	trials	recognition	new018.png	1.0	3.0	1.0	641.833554
642.86296	3.246467999999936	trials	recognition	new040.png	1.0	3.0	1.0	646.109428
647.13874	3.367529999999988	trials	recognition	old018.png	1.0	3.0	6.0	650.50627
651.535238	3.5161239999999907	trials	recognition	new028.png	1.0	3.0	1.0	655.051362
656.080392	3.2968740000000025	trials	recognition	old014.png	1.0	3.0	6.0	659.377266
660.405891	2.416123999999968	trials	recognition	new024.png	1.0	3.0	1.0	662.822015
663.850827	2.377093000000059	trials	recognition	new010.png	0.0	3.0	6.0	666.22792
667.256232	3.446905000000015	trials	recognition	new031.png	1.0	2.0	2.0	670.703137
671.732449	2.856561000000056	trials	recognition	new029.png	1.0	3.0	1.0	674.58901
675.618478	1.736468000000059	trials	recognition	new034.png	1.0	3.0	1.0	677.354946
678.383446	2.207029999999918	trials	recognition	old025.png	1.0	3.0	6.0	680.590476
681.619413	1.8368430000000444	trials	recognition	old009.png	1.0	2.0	5.0	683.456256
684.484287	1.8966870000000426	trials	recognition	new004.png	1.0	3.0	1.0	686.380974
687.410036	2.086812000000009	trials	recognition	new027.png	1.0	3.0	1.0	689.496848
690.525691	2.476248999999939	trials	recognition	old029.png	1.0	3.0	6.0	693.00194
694.030752	3.3076859999999897	trials	recognition	new020.png	1.0	3.0	1.0	697.338438
698.36675	2.7275619999999208	trials	recognition	new038.png	0.0	2.0	5.0	701.094312
702.123186	5.55749800000001	trials	recognition	old004.png	1.0	2.0	5.0	707.680684
708.710434	3.527247999999986	trials	recognition	new011.png	0.0	3.0	6.0	712.237682
713.265307	2.346373999999969	trials	recognition	old027.png	1.0	3.0	6.0	715.611681
716.640243	2.30643699999996	trials	recognition	new016.png	1.0	3.0	1.0	718.94668
719.975273	2.6161859999999706	trials	recognition	old032.png	1.0	3.0	6.0	722.591459
723.620209	2.4356869999999162	trials	recognition	new026.png	1.0	3.0	1.0	726.055896
727.085083	1.9680929999999535	trials	recognition	old008.png	1.0	3.0	6.0	729.053176
730.082113	1.7848739999999452	trials	recognition	old001.png	0.0	3.0	1.0	731.866987
732.894205	1.5782179999999926	trials	recognition	old036.png	1.0	3.0	6.0	734.472423
735.500454	1.8977499999999736	trials	recognition	old023.png	1.0	3.0	6.0	737.398204
738.427141	5.837247000000048	trials	recognition	old034.png	1.0	2.0	5.0	744.264388
745.292825	3.256780000000049	trials	recognition	new022.png	1.0	3.0	1.0	748.549605
