onset	duration	nwb_table	stim_phase	stimulus_file	response_correct	response_confidence	actual_response	response_time
0.0	478.84912	trials	encoding	bd_movie				478.84912
615.073659	39.41973399999995	trials	recognition	new013.png	1.0	1.0	3.0	654.493393
655.540893	5.930934999999977	trials	recognition	new039.png	0.0	1.0	4.0	661.471828
662.515046	5.2608730000000605	trials	recognition	new032.png	1.0	3.0	1.0	667.775919
668.8202	1.9603740000000016	trials	recognition	new005.png	1.0	3.0	1.0	670.780574
671.833136	3.5043110000000297	trials	recognition	old026.png	1.0	3.0	6.0	675.337447
676.385291	4.848809999999958	trials	recognition	new036.png	1.0	3.0	1.0	681.234101
682.267913	4.9877480000000105	trials	recognition	old017.png	1.0	3.0	6.0	687.255661
688.28613	8.387965000000008	trials	recognition	new025.png	0.0	1.0	4.0	696.674095
697.703938	3.7667800000000398	trials	recognition	old010.png	1.0	3.0	6.0	701.470718
702.500718	7.450339999999983	trials	recognition	new006.png	1.0	3.0	1.0	709.951058
710.980839	4.567998000000102	trials	recognition	old039.png	1.0	3.0	6.0	715.548837
716.577368	7.217216000000008	trials	recognition	old019.png	1.0	1.0	4.0	723.794584
724.823334	4.297778999999991	trials	recognition	new001.png	1.0	3.0	1.0	729.121113
730.149175	3.5469679999999926	trials	recognition	new023.png	1.0	3.0	1.0	733.696143
734.723986	2.048562000000061	trials	recognition	old028.png	1.0	3.0	6.0	736.772548
737.801391	4.497498000000064	trials	recognition	new033.png	1.0	2.0	2.0	742.298889
743.328357	10.158964999999966	trials	recognition	new014.png	1.0	1.0	3.0	753.487322
754.516134	8.65890300000001	trials	recognition	old030.png	0.0	1.0	3.0	763.175037
764.203849	4.698654000000033	trials	recognition	old035.png	1.0	3.0	6.0	768.902503
769.930659	9.058683999999971	trials	recognition	old024.png	0.0	1.0	3.0	778.989343
780.01803	6.398685	trials	recognition	old005.png	1.0	3.0	6.0	786.416715
787.44509	2.1679359999999406	trials	recognition	old037.png	1.0	3.0	6.0	789.613026
790.642338	9.39824699999997	trials	recognition	old033.png	0.0	1.0	3.0	800.040585
801.068772	3.0873730000000705	trials	recognition	old006.png	1.0	3.0	6.0	804.156145
805.183801	4.417186000000015	trials	recognition	new035.png	1.0	1.0	3.0	809.600987
810.62933	4.186999000000014	trials	recognition	old007.png	1.0	3.0	6.0	814.816329
815.844297	5.997591000000057	trials	recognition	old031.png	1.0	3.0	6.0	821.841888
822.8712	9.427278000000001	trials	recognition	old003.png	0.0	1.0	3.0	832.298478
833.32604	2.7781549999999697	trials	recognition	new015.png	1.0	3.0	1.0	836.104195
837.131695	2.157404999999926	trials	recognition	old013.png	1.0	3.0	6.0	839.2891
840.317068	4.968686000000048	trials	recognition	new009.png	1.0	1.0	3.0	845.285754
846.313254	8.21774599999992	trials	recognition	new002.png	1.0	1.0	3.0	854.531
855.558625	1.4908430000000408	trials	recognition	new037.png	1.0	1.0	3.0	857.049468
858.077718	8.627652000000012	trials	recognition	new003.png	1.0	3.0	1.0	866.70537
867.733964	8.53893400000004	trials	recognition	old016.png	1.0	2.0	5.0	876.272898
877.300554	4.197247999999945	trials	recognition	old002.png	1.0	3.0	6.0	881.497802
882.526958	4.758497999999918	trials	recognition	old011.png	1.0	3.0	6.0	887.285456
888.313674	4.019560999999953	trials	recognition	new017.png	1.0	2.0	2.0	892.333235
893.361828	6.128248000000099	trials	recognition	new019.png	1.0	2.0	2.0	899.490076
900.518951	6.377433999999994	trials	recognition	new007.png	1.0	3.0	1.0	906.896385
