onset	duration	nwb_table	stim_phase	stimulus_file	response_correct	response_confidence	actual_response	response_time
0.0	478.01962	trials	encoding	bd_movie				478.01962
549.47056	9.129871999999978	trials	recognition	new013.png	1.0	3.0	1.0	558.600432
559.638619	8.840246000000093	trials	recognition	new039.png	1.0	1.0	3.0	568.478865
569.539365	12.338651000000027	trials	recognition	new032.png	0.0	1.0	4.0	581.878016
582.922047	7.939058999999929	trials	recognition	new005.png	0.0	2.0	5.0	590.861106
591.9142	4.362372999999934	trials	recognition	old026.png	0.0	3.0	1.0	596.276573
597.312822	11.909121000000027	trials	recognition	new036.png	0.0	3.0	6.0	609.221943
610.249192	6.027717000000052	trials	recognition	old017.png	0.0	1.0	3.0	616.276909
617.309283	5.598872999999912	trials	recognition	new025.png	0.0	3.0	6.0	622.908156
623.932124	6.037591999999904	trials	recognition	old010.png	0.0	1.0	3.0	629.969716
631.000465	3.740998999999988	trials	recognition	new006.png	0.0	3.0	6.0	634.741464
635.772088	6.50696599999992	trials	recognition	old039.png	0.0	1.0	3.0	642.279054
643.30696	10.434401999999977	trials	recognition	old019.png	0.0	1.0	3.0	653.741362
654.770018	4.6084979999999405	trials	recognition	new001.png	0.0	3.0	6.0	659.378516
660.40661	7.85784000000001	trials	recognition	new023.png	0.0	3.0	6.0	668.26445
669.293762	11.62046399999997	trials	recognition	old028.png	0.0	1.0	3.0	680.914226
681.943601	4.167686000000003	trials	recognition	new033.png	0.0	3.0	6.0	686.111287
687.141193	7.457746999999927	trials	recognition	new014.png	1.0	1.0	3.0	694.59894
695.629064	3.877935999999977	trials	recognition	old030.png	0.0	1.0	3.0	699.507
700.530031	2.5784680000000435	trials	recognition	old035.png	0.0	1.0	3.0	703.108499
704.13978	3.188310999999999	trials	recognition	old024.png	0.0	1.0	3.0	707.328091
708.357997	3.4485290000000077	trials	recognition	old005.png	0.0	1.0	3.0	711.806526
712.850776	4.617186000000061	trials	recognition	old037.png	0.0	3.0	1.0	717.467962
718.49793	5.731997999999976	trials	recognition	old033.png	0.0	1.0	3.0	724.229928
725.25899	3.498497999999927	trials	recognition	old006.png	0.0	2.0	2.0	728.757488
729.787332	6.335340999999971	trials	recognition	new035.png	0.0	3.0	6.0	736.122673
737.15036	3.837342000000035	trials	recognition	old007.png	0.0	1.0	3.0	740.987702
742.017014	2.37796800000001	trials	recognition	old031.png	0.0	1.0	3.0	744.394982
745.424513	5.229591999999911	trials	recognition	old003.png	0.0	2.0	2.0	750.654105
751.683792	2.8082170000000133	trials	recognition	new015.png	0.0	3.0	6.0	754.492009
755.514384	2.496436000000017	trials	recognition	old013.png	0.0	1.0	3.0	758.01082
759.039664	10.408526999999935	trials	recognition	new009.png	0.0	2.0	5.0	769.448191
770.477597	6.097872000000052	trials	recognition	new002.png	0.0	2.0	5.0	776.575469
777.604469	6.307529000000045	trials	recognition	new037.png	0.0	3.0	6.0	783.911998
784.941622	1.9181559999999536	trials	recognition	new003.png	0.0	3.0	6.0	786.859778
787.889371	4.75756100000001	trials	recognition	old016.png	0.0	1.0	3.0	792.646932
793.67565	2.418060999999966	trials	recognition	old002.png	0.0	1.0	3.0	796.093711
797.12268	3.837716999999998	trials	recognition	old011.png	0.0	3.0	1.0	800.960397
801.990834	13.947244000000069	trials	recognition	new017.png	0.0	1.0	4.0	815.938078
816.96714	13.607026000000019	trials	recognition	new019.png	0.0	1.0	4.0	830.574166
831.600666	9.057901999999899	trials	recognition	new007.png	0.0	1.0	4.0	840.658568
