onset	duration	nwb_table	stim_phase	stimulus_file	response_correct	response_confidence	actual_response	response_time
0.0	478.839089	trials	encoding	bd_movie				478.839089
694.391752	21.798991	trials	recognition	new012.png	0.0	1.0	4.0	716.190743
717.237899	9.399995999999987	trials	recognition	new027.png	0.0	2.0	5.0	726.637895
727.679895	3.5489989999999807	trials	recognition	new029.png	0.0	3.0	6.0	731.228894
732.270268	2.718717999999967	trials	recognition	new004.png	0.0	3.0	6.0	734.988986
736.038798	2.420123999999987	trials	recognition	old025.png	1.0	3.0	6.0	738.458922
739.507453	12.947962999999959	trials	recognition	new034.png	0.0	1.0	4.0	752.455416
753.490666	2.237498999999957	trials	recognition	old008.png	1.0	3.0	6.0	755.728165
756.760165	3.0376549999999725	trials	recognition	new024.png	0.0	2.0	5.0	759.79782
760.828444	2.496623999999997	trials	recognition	old020.png	1.0	3.0	6.0	763.325068
764.355818	1.7098120000000563	trials	recognition	new011.png	0.0	3.0	6.0	766.06563
767.095754	8.457871999999952	trials	recognition	old036.png	1.0	3.0	6.0	775.553626
776.583344	1.4967179999999871	trials	recognition	old018.png	1.0	3.0	6.0	778.080062
779.108906	2.8673729999999296	trials	recognition	new028.png	0.0	3.0	6.0	781.976279
783.004904	2.1565930000000435	trials	recognition	new020.png	0.0	3.0	6.0	785.161497
786.190059	2.557529999999929	trials	recognition	old014.png	1.0	3.0	6.0	788.747589
789.776933	3.2767169999999624	trials	recognition	new021.png	0.0	2.0	5.0	793.05365
794.081806	1.795217999999977	trials	recognition	new031.png	0.0	3.0	6.0	795.877024
796.905492	5.1072169999999915	trials	recognition	old023.png	1.0	2.0	5.0	802.012709
803.041583	3.0253430000000208	trials	recognition	old004.png	1.0	3.0	6.0	806.066926
807.095832	2.2068739999999707	trials	recognition	old009.png	1.0	3.0	6.0	809.302706
810.330737	1.5364049999999452	trials	recognition	old022.png	1.0	3.0	6.0	811.867142
812.895642	1.7865620000000035	trials	recognition	old034.png	1.0	3.0	6.0	814.682204
815.71036	1.6058429999999362	trials	recognition	old032.png	1.0	3.0	6.0	817.316203
818.345077	2.486218000000008	trials	recognition	old029.png	1.0	3.0	6.0	820.831295
821.85992	7.216903000000002	trials	recognition	new022.png	0.0	1.0	4.0	829.076823
830.10551	2.3568430000000262	trials	recognition	old001.png	1.0	3.0	6.0	832.462353
833.49054	1.9852799999999888	trials	recognition	old027.png	1.0	3.0	6.0	835.47582
836.504758	3.766153999999915	trials	recognition	old015.png	1.0	3.0	6.0	840.270912
841.299787	3.3572169999999915	trials	recognition	new040.png	0.0	3.0	6.0	844.657004
845.685285	1.3165619999999763	trials	recognition	old012.png	1.0	3.0	6.0	847.001847
848.030097	2.6659670000000233	trials	recognition	new038.png	0.0	2.0	5.0	850.696064
851.725126	4.186686000000009	trials	recognition	new010.png	0.0	3.0	6.0	855.911812
856.939468	3.6465919999999414	trials	recognition	new026.png	0.0	1.0	4.0	860.58606
861.61406	2.8454679999999826	trials	recognition	new018.png	0.0	2.0	5.0	864.459528
865.487808	2.4367809999999963	trials	recognition	old040.png	1.0	2.0	5.0	867.924589
868.953338	1.7466559999999163	trials	recognition	old021.png	1.0	3.0	6.0	870.699994
871.727525	2.7463109999999915	trials	recognition	old038.png	1.0	3.0	6.0	874.473836
875.502304	3.3814989999999625	trials	recognition	new030.png	0.0	2.0	5.0	878.883803
879.910865	3.2165300000000343	trials	recognition	new016.png	0.0	2.0	5.0	883.127395
884.155957	2.4560300000000552	trials	recognition	new008.png	0.0	3.0	6.0	886.611987
