onset	duration	nwb_table	stim_phase	stimulus_file	response_correct	response_confidence	actual_response	response_time
0.0	478.853808	trials	encoding	bd_movie				478.853808
576.639394	14.366619000000014	trials	recognition	new012.png	0.0	1.0	4.0	591.006013
592.052325	4.185967000000005	trials	recognition	new027.png	1.0	2.0	2.0	596.238292
597.280135	5.576436000000058	trials	recognition	new029.png	1.0	3.0	1.0	602.856571
603.899945	3.195842999999968	trials	recognition	new004.png	1.0	3.0	1.0	607.095788
608.1476	2.7284049999999525	trials	recognition	old025.png	1.0	3.0	6.0	610.876005
611.924004	3.7447799999999916	trials	recognition	new034.png	1.0	3.0	1.0	615.668784
616.703409	6.75471600000003	trials	recognition	old008.png	1.0	3.0	6.0	623.458125
624.488593	4.923872999999958	trials	recognition	new024.png	1.0	3.0	1.0	629.412466
630.442778	3.973999000000049	trials	recognition	old020.png	1.0	2.0	5.0	634.416777
635.44762	8.715839999999957	trials	recognition	new011.png	0.0	3.0	6.0	644.16346
645.192679	2.1639049999999997	trials	recognition	old036.png	1.0	3.0	6.0	647.356584
648.385552	10.424777000000063	trials	recognition	old018.png	1.0	1.0	4.0	658.810329
659.839954	3.3936239999999316	trials	recognition	new028.png	1.0	3.0	1.0	663.233578
664.262015	4.054748000000018	trials	recognition	new020.png	1.0	3.0	1.0	668.316763
669.346294	3.3538110000000643	trials	recognition	old014.png	1.0	3.0	6.0	672.700105
673.728292	4.924248000000034	trials	recognition	new021.png	0.0	1.0	4.0	678.65254
679.680509	2.3332490000000234	trials	recognition	new031.png	1.0	3.0	1.0	682.013758
683.04232	5.914809999999989	trials	recognition	old023.png	0.0	3.0	1.0	688.95713
689.985754	5.943841999999904	trials	recognition	old004.png	0.0	1.0	3.0	695.929596
696.958064	3.8037799999999606	trials	recognition	old009.png	1.0	1.0	4.0	700.761844
701.790031	2.2940929999999753	trials	recognition	old022.png	1.0	3.0	6.0	704.084124
705.112686	2.813654999999926	trials	recognition	old034.png	1.0	3.0	6.0	707.926341
708.954872	3.9737789999999222	trials	recognition	old032.png	1.0	3.0	6.0	712.928651
713.956557	3.4233740000000807	trials	recognition	old029.png	1.0	3.0	6.0	717.379931
718.409212	9.544370999999956	trials	recognition	new022.png	0.0	2.0	5.0	727.953583
728.982707	3.2731549999999743	trials	recognition	old001.png	1.0	3.0	6.0	732.255862
733.284143	16.61483700000008	trials	recognition	old027.png	0.0	3.0	1.0	749.89898
750.951199	10.273496000000023	trials	recognition	old015.png	0.0	2.0	2.0	761.224695
762.25335	5.4338109999999915	trials	recognition	new040.png	1.0	3.0	1.0	767.687161
768.715223	3.3732479999999896	trials	recognition	old012.png	1.0	3.0	6.0	772.088471
773.117065	4.743685000000028	trials	recognition	new038.png	0.0	2.0	5.0	777.86075
778.888844	2.4741240000000744	trials	recognition	new010.png	0.0	3.0	6.0	781.362968
782.390467	2.7336870000000317	trials	recognition	new026.png	1.0	3.0	1.0	785.124154
786.151903	2.3635620000000017	trials	recognition	new018.png	1.0	3.0	1.0	788.515465
789.543433	2.283186999999998	trials	recognition	old040.png	1.0	3.0	6.0	791.82662
792.855276	1.9334989999999834	trials	recognition	old021.png	1.0	3.0	6.0	794.788775
795.817056	1.9640299999999797	trials	recognition	old038.png	1.0	3.0	6.0	797.781086
798.810211	2.5330300000000534	trials	recognition	new030.png	1.0	3.0	1.0	801.343241
802.371616	3.913966999999957	trials	recognition	new016.png	1.0	3.0	1.0	806.285583
807.313739	5.484246999999982	trials	recognition	new008.png	1.0	2.0	2.0	812.797986
